"","id","block","refClass","appliance","pct_goal","rounded","state","family","state_avg","plan","value","change","state_dif"
"102",74709,1,"kWh","WATER","10%","Not Rounded","Colorado",11667,5832,"plan2",8391,-3276,2559
"103",74709,1,"kWh","REFRIG","10%","Not Rounded","Colorado",1370,1142,"plan1",1300,-70,158
"104",74709,1,"kWh","REFRIG","10%","Not Rounded","Colorado",1370,1142,"plan2",1200,-170,58
"105",74709,1,"kWh","OTHER","10%","Not Rounded","Colorado",7982,6652,"plan1",7000,-982,348
"106",74709,1,"kWh","OTHER","10%","Not Rounded","Colorado",7982,6652,"plan2",7500,-482,848
"107",74709,1,"kWh","TOTAL","10%","Not Rounded","Colorado",39768,30535,"plan1",35791,-3977,5256
"108",74709,1,"kWh","TOTAL","10%","Not Rounded","Colorado",39768,30535,"plan2",35791,-3977,5256
"109",74709,2,"kWh","AC","15%","Rounded","California",3000,1289,"plan1",2000,-1000,711
"110",74709,2,"kWh","AC","15%","Rounded","California",3000,1289,"plan2",2450,-550,1161
"111",74709,2,"kWh","HEAT","15%","Rounded","California",6000,5597,"plan1",5500,-500,-97
"112",74709,2,"kWh","HEAT","15%","Rounded","California",6000,5597,"plan2",5500,-500,-97
"113",74709,2,"kWh","WATER","15%","Rounded","California",5000,4601,"plan1",4600,-400,-1
"114",74709,2,"kWh","WATER","15%","Rounded","California",5000,4601,"plan2",4800,-200,199
"115",74709,2,"kWh","REFRIG","15%","Rounded","California",1000,1055,"plan1",1000,0,-55
"116",74709,2,"kWh","REFRIG","15%","Rounded","California",1000,1055,"plan2",800,-200,-255
"117",74709,2,"kWh","OTHER","15%","Rounded","California",8000,6916,"plan1",6450,-1550,-466
"118",74709,2,"kWh","OTHER","15%","Rounded","California",8000,6916,"plan2",6000,-2000,-916
"119",74709,2,"kWh","TOTAL","15%","Rounded","California",23000,19458,"plan1",19550,-3450,92
"120",74709,2,"kWh","TOTAL","15%","Rounded","California",23000,19458,"plan2",19550,-3450,92
"121",74729,1,"kWh","AC","10%","Rounded","California",3000,1289,"plan1",1500,-1500,211
"122",74729,1,"kWh","AC","10%","Rounded","California",3000,1289,"plan2",1700,-1300,411
"123",74729,1,"kWh","HEAT","10%","Rounded","California",6000,5597,"plan1",6000,0,403
"124",74729,1,"kWh","HEAT","10%","Rounded","California",6000,5597,"plan2",6000,0,403
"125",74729,1,"kWh","WATER","10%","Rounded","California",5000,4601,"plan1",5000,0,399
"126",74729,1,"kWh","WATER","10%","Rounded","California",5000,4601,"plan2",5000,0,399
"127",74729,1,"kWh","REFRIG","10%","Rounded","California",1000,1055,"plan1",1000,0,-55
"128",74729,1,"kWh","REFRIG","10%","Rounded","California",1000,1055,"plan2",1000,0,-55
"129",74729,1,"kWh","OTHER","10%","Rounded","California",8000,6916,"plan1",7200,-800,284
"130",74729,1,"kWh","OTHER","10%","Rounded","California",8000,6916,"plan2",7000,-1000,84
"131",74729,1,"kWh","TOTAL","10%","Rounded","California",23000,19458,"plan1",20700,-2300,1242
"132",74729,1,"kWh","TOTAL","10%","Rounded","California",23000,19458,"plan2",20700,-2300,1242
"133",74729,2,"kWh","AC","15%","Not Rounded","Colorado",697,498,"plan1",500,-197,2
"134",74729,2,"kWh","AC","15%","Not Rounded","Colorado",697,498,"plan2",500,-197,2
"135",74729,2,"kWh","HEAT","15%","Not Rounded","Colorado",18052,16411,"plan1",17000,-1052,589
"136",74729,2,"kWh","HEAT","15%","Not Rounded","Colorado",18052,16411,"plan2",17303,-749,892
"137",74729,2,"kWh","WATER","15%","Not Rounded","Colorado",11667,5832,"plan1",8000,-3667,2168
"138",74729,2,"kWh","WATER","15%","Not Rounded","Colorado",11667,5832,"plan2",8000,-3667,2168
"139",74729,2,"kWh","REFRIG","15%","Not Rounded","Colorado",1370,1142,"plan1",1000,-370,-142
"140",74729,2,"kWh","REFRIG","15%","Not Rounded","Colorado",1370,1142,"plan2",1000,-370,-142
"141",74729,2,"kWh","OTHER","15%","Not Rounded","Colorado",7982,6652,"plan1",7303,-679,651
"142",74729,2,"kWh","OTHER","15%","Not Rounded","Colorado",7982,6652,"plan2",7000,-982,348
"143",74729,2,"kWh","TOTAL","15%","Not Rounded","Colorado",39768,30535,"plan1",33803,-5965,3268
"144",74729,2,"kWh","TOTAL","15%","Not Rounded","Colorado",39768,30535,"plan2",33803,-5965,3268
"145",74827,1,"kWh","AC","10%","Not Rounded","Massachusetts",419,322,"plan1",300,-119,-22
"146",74827,1,"kWh","AC","10%","Not Rounded","Massachusetts",419,322,"plan2",300,-119,-22
"147",74827,1,"kWh","HEAT","10%","Not Rounded","Massachusetts",26751,19108,"plan1",25700,-1051,6592
"148",74827,1,"kWh","HEAT","10%","Not Rounded","Massachusetts",26751,19108,"plan2",26700,-51,7592
