"id","block","refClass","appliance","pct_goal","rounded","state","calc","edu","els","pct","family","state_avg","plan","value"
"s2_105",1,"kWh","OTHER","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,8000,7883,"plan1",6000
"s2_105",1,"kWh","OTHER","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,8000,7883,"plan2",5000
"s2_105",1,"kWh","TOTAL","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,29000,22945,"plan1",20000
"s2_105",1,"kWh","TOTAL","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,29000,22945,"plan2",16800
"s2_105",2,"kWh","AC","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,419,322,"plan1",350
"s2_105",2,"kWh","AC","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,419,322,"plan2",300
"s2_105",2,"kWh","HEAT","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,26751,19108,"plan1",20000
"s2_105",2,"kWh","HEAT","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,26751,19108,"plan2",19000
"s2_105",2,"kWh","WATER","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,10543,5070,"plan1",5000
"s2_105",2,"kWh","WATER","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,10543,5070,"plan2",4500
"s2_105",2,"kWh","REFRIG","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,1230,1025,"plan1",1000
"s2_105",2,"kWh","REFRIG","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,1230,1025,"plan2",800
"s2_105",2,"kWh","OTHER","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,7350,6682,"plan1",5000
"s2_105",2,"kWh","OTHER","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,7350,6682,"plan2",4500
"s2_105",2,"kWh","TOTAL","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,46293,32207,"plan1",31350
"s2_105",2,"kWh","TOTAL","10%","Not Rounded","Massachusetts","Calculator","Some college",0.125,0.1,46293,32207,"plan2",29100
"s2_106",1,"USD","AC","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,7000,4249,"plan1",4000
"s2_106",1,"USD","AC","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,7000,4249,"plan2",5000
"s2_106",1,"USD","HEAT","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,6000,5099,"plan1",2567
"s2_106",1,"USD","HEAT","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,6000,5099,"plan2",3499
"s2_106",1,"USD","WATER","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,5000,4396,"plan1",4770
"s2_106",1,"USD","WATER","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,5000,4396,"plan2",6000
"s2_106",1,"USD","REFRIG","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,3000,1318,"plan1",2500
"s2_106",1,"USD","REFRIG","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,3000,1318,"plan2",3000
"s2_106",1,"USD","OTHER","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,8000,7883,"plan1",7500
"s2_106",1,"USD","OTHER","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,8000,7883,"plan2",6789
"s2_106",1,"USD","TOTAL","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,29000,22945,"plan1",21337
"s2_106",1,"USD","TOTAL","10%","Rounded","Texas","No Calculator","Graduate degree",0.375,0.1,29000,22945,"plan2",24288
"s2_106",2,"USD","AC","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,419,322,"plan1",456
"s2_106",2,"USD","AC","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,419,322,"plan2",432
"s2_106",2,"USD","HEAT","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,26751,19108,"plan1",2200
"s2_106",2,"USD","HEAT","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,26751,19108,"plan2",15000
"s2_106",2,"USD","WATER","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,10543,5070,"plan1",8905
"s2_106",2,"USD","WATER","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,10543,5070,"plan2",3675
"s2_106",2,"USD","REFRIG","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,1230,1025,"plan1",1354
"s2_106",2,"USD","REFRIG","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,1230,1025,"plan2",1564
"s2_106",2,"USD","OTHER","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,7350,6682,"plan1",6473
"s2_106",2,"USD","OTHER","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,7350,6682,"plan2",4564
"s2_106",2,"USD","TOTAL","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,46293,32207,"plan1",39188
"s2_106",2,"USD","TOTAL","15%","Not Rounded","Massachusetts","No Calculator","Graduate degree",0.375,0.15,46293,32207,"plan2",25235
"s2_107",1,"USD","AC","10%","Rounded","Texas","Calculator","College degree",0,0.1,7000,4249,"plan1",7000
"s2_107",1,"USD","AC","10%","Rounded","Texas","Calculator","College degree",0,0.1,7000,4249,"plan2",4249
"s2_107",1,"USD","HEAT","10%","Rounded","Texas","Calculator","College degree",0,0.1,6000,5099,"plan1",6000
"s2_107",1,"USD","HEAT","10%","Rounded","Texas","Calculator","College degree",0,0.1,6000,5099,"plan2",5099
"s2_107",1,"USD","WATER","10%","Rounded","Texas","Calculator","College degree",0,0.1,5000,4396,"plan1",5000
"s2_107",1,"USD","WATER","10%","Rounded","Texas","Calculator","College degree",0,0.1,5000,4396,"plan2",4396
"s2_107",1,"USD","REFRIG","10%","Rounded","Texas","Calculator","College degree",0,0.1,3000,1318,"plan1",3000
"s2_107",1,"USD","REFRIG","10%","Rounded","Texas","Calculator","College degree",0,0.1,3000,1318,"plan2",1318
"s2_107",1,"USD","OTHER","10%","Rounded","Texas","Calculator","College degree",0,0.1,8000,7883,"plan1",8000
"s2_107",1,"USD","OTHER","10%","Rounded","Texas","Calculator","College degree",0,0.1,8000,7883,"plan2",7883
"s2_107",1,"USD","TOTAL","10%","Rounded","Texas","Calculator","College degree",0,0.1,29000,22945,"plan1",29000
"s2_107",1,"USD","TOTAL","10%","Rounded","Texas","Calculator","College degree",0,0.1,29000,22945,"plan2",22945
"s2_107",2,"USD","AC","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,419,322,"plan1",419
"s2_107",2,"USD","AC","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,419,322,"plan2",322
"s2_107",2,"USD","HEAT","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,26751,19108,"plan1",26751
"s2_107",2,"USD","HEAT","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,26751,19108,"plan2",19108
"s2_107",2,"USD","WATER","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,10543,5070,"plan1",10543
"s2_107",2,"USD","WATER","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,10543,5070,"plan2",5070
"s2_107",2,"USD","REFRIG","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,1230,1025,"plan1",1230
"s2_107",2,"USD","REFRIG","15%","Not Rounded","Massachusetts","Calculator","College degree",0,0.15,1230,1025,"plan2",1025
